CompanyCode,EPS,ROA,Dbequrt,year
1073,0.07,1.4825,102.8533,2015
1073,0.07,1.3642,139.1513,2016
1073,0.05,0.9702,83.6961,2017
1073,0.07,1.4434,98.7122,2018
1074,0.743,2.0022,135.2242,2009
1074,0.609,2.2578,188.2178,2010
1074,0.71,2.6166,211.9439,2011
1074,0.744,2.655,207.9974,2012
1074,0.834,2.8833,204.6322,2013
1074,1.181,3.558,141.2075,2014
1074,1.096,4.0962,146.4192,2015
1074,1.199,4.2968,148.943,2016
1074,1.225,4.0426,151.7668,2017
1074,0.775,4.1081,170.2599,2018
1076,1.08,11.1355,153.7814,2009
1076,1.65,13.9319,173.6802,2010
1076,2.27,16.1339,135.6762,2011
1076,2.31,14.0004,95.1423,2012
1076,1.43,11.9561,85.062,2013
1076,1.77,13.2562,119.9775,2014
1076,1.6,13.2969,133.7401,2015
1076,1.83,12.566,158.092,2016
1076,1.41,8.8836,132.6445,2017
1076,1.01,6.3822,120.4432,2018
1077,0.46,3.839,514.8251,2009
1077,0.7,5.6143,327.9849,2010
1077,1.08,8.6649,183.2133,2011
1077,0.71,7.1337,272.8743,2012
1077,1.08,8.4214,205.2835,2013
1077,0.63,5.1109,230.3497,2014
1077,0.15,2.2949,158.0252,2015
1077,0.22,1.8329,178.1137,2016
1077,0.4,3.5874,174.0014,2017
1077,0.51,3.8451,195.6499,2018
1078,0.67,3.8812,408.209,2009
1078,0.396,3.2555,405.652,2010
1078,0.445,2.9949,469.0006,2011
1078,0.448,2.6412,481.4105,2012
1078,0.454,2.4106,498.1301,2013
1078,0.529,3.1041,378.9035,2014
1078,0.583,2.9513,491.7301,2015
1078,0.686,3.2123,265.5422,2016
1078,0.892,3.4585,331.0326,2017
1078,0.887,2.9422,381.0968,2018
1079,0.1,1.1386,118.6472,2009
1079,0.04,0.5708,183.5202,2010
1079,-0.26,-3.948,208.3181,2011
1079,0.02,0.1759,249.2357,2012
1079,-0.34,-4.8227,282.9708,2013
1079,-0.84,-12.7663,531.6319,2014
1079,0.05,0.3751,110.4838,2015
1079,-0.32,-8.9059,133.1223,2016
1079,0.04,0.2842,94.1431,2017
1079,-0.0546,-2.3509,132.8758,2018
1080,0.29,4.6954,150.563,2009
1080,0.45,6.2501,173.3416,2010
1080,0.27,4.734,143.5373,2011
1080,0.7,12.2272,123.3708,2012
1080,0.67,11.414,72.5854,2013
1080,-0.24,-2.2377,82.5517,2014
1080,0.07,0.998,96.6698,2015
1080,0.28,4.7264,60.6675,2016
1080,0.32,6.2514,43.6615,2017
1080,0.42,7.4073,62.0584,2018
1081,0.2131,6.5895,65.4656,2009
1081,0.231,7.1249,52.2452,2010
1081,0.0194,1.2864,54.6579,2011
1081,0.0263,-0.0458,35.339,2012
1081,-0.1189,-4.3164,31.2511,2013
1081,-0.4245,-15.7612,90.3686,2014
1081,0.0835,1.8378,90.0162,2015
1081,-0.49,-12.2258,120.1105,2016
1081,0.14,3.5165,105.6926,2017
1081,-0.03,-0.9175,117.2258,2018
1082,0.263,4.1175,70.5715,2009
1082,0.111,2.0597,65.8408,2010
1082,0.08,1.6816,63.085,2011
1082,-0.159,-4.0497,78.2103,2012
1082,-0.381,-7.9227,82.8625,2013
1082,0.022,0.5191,105.1003,2014
